Unnamed: 0,Player,Position,Age,90 mins played,Non Penalty xG,Non-penalty goals,Non-Penalty(xG-Goals),Expected Assists,Assists,xAG-Assists,npxGi-npGi,Non Penalty xG + Assisted Goals,xG/90,Expected Assisted Goals/90,Expected Goals+Assisted Goals/90,Non Penalty xG/90,Non Penalty xG+xAG/90
1290,Stefan Bell,DF,30.0,26.6,0.7,0,0.7,0.6,1,-0.4,0.3,1.2,0.02,0.02,0.05,0.02,0.05
1291,Robin Zentner,GK,27.0,26.0,0.0,0,0.0,0.1,0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0
1292,Leandro Barreiro Martins,MF,22.0,23.8,3.9,4,-0.1,2.2,3,-0.8,-0.9,6.1,0.16,0.09,0.25,0.16,0.25
1293,Lee Jae-sung,MF,29.0,21.0,4.3,7,-2.7,2.8,5,-2.2,-4.9,7.1,0.2,0.13,0.34,0.2,0.34
1294,Anthony Caci,DF,25.0,22.6,0.6,2,-1.4,2.6,1,1.6,0.2,3.2,0.03,0.11,0.14,0.03,0.14
1295,Anton Stach,MF,23.0,23.0,2.2,1,1.2,3.6,4,-0.4,0.8,5.8,0.1,0.16,0.25,0.1,0.25
1296,Aarón Martín,DF,25.0,20.5,1.4,5,-3.6,2.8,3,-0.2,-3.8,4.2,0.11,0.14,0.24,0.07,0.2
1297,Silvan Widmer,DF,29.0,18.8,2.5,2,0.5,2.0,2,0.0,0.5,4.5,0.13,0.11,0.24,0.13,0.24
1298,Andreas Hanche-Olsen,DF,25.0,16.6,0.4,1,-0.6,1.2,3,-1.8,-2.4,1.6,0.03,0.07,0.1,0.03,0.1
1299,Marcus Ingvartsen,"FW,MF",26.0,14.6,5.2,6,-0.8,0.7,0,0.7,-0.1,5.9,0.57,0.05,0.62,0.36,0.41
1300,Ludovic Ajorque,"FW,MF",28.0,13.5,4.6,6,-1.4,1.7,1,0.7,-0.7,6.4,0.34,0.13,0.47,0.34,0.47
1301,Danny da Costa,DF,29.0,13.7,0.5,0,0.5,1.0,2,-1.0,-0.5,1.5,0.04,0.07,0.11,0.04,0.11
1302,Alexander Hack,DF,28.0,12.6,0.1,0,0.1,0.1,0,0.1,0.2,0.2,0.01,0.01,0.02,0.01,0.02
1303,Finn Dahmen,GK,24.0,8.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1304,Maxim Leitsch,DF,24.0,7.4,0.2,0,0.2,0.0,0,0.0,0.2,0.2,0.02,0.0,0.03,0.02,0.03
1305,Jonathan Burkardt,"MF,FW",22.0,5.9,2.2,1,1.2,1.1,2,-0.9,0.3,3.3,0.5,0.18,0.68,0.37,0.55
1306,Angelo Fulgini,MF,25.0,5.8,0.6,0,0.6,0.8,1,-0.2,0.4,1.4,0.1,0.13,0.23,0.1,0.23
1307,Aymen Barkok,MF,24.0,6.5,0.5,0,0.5,0.9,1,-0.1,0.4,1.4,0.08,0.14,0.21,0.08,0.21
1308,Delano Burgzorg,"FW,MF",23.0,2.7,0.2,0,0.2,0.1,1,-0.9,-0.7,0.2,0.06,0.02,0.08,0.06,0.08
1309,Nelson Weiper,"FW,DF",17.0,1.1,1.7,2,-0.3,0.1,0,0.1,-0.2,1.8,1.52,0.13,1.65,1.52,1.65
1310,Niklas Tauer,"DF,MF",21.0,1.0,0.1,0,0.1,0.0,0,0.0,0.1,0.1,0.07,0.0,0.07,0.07,0.07
1311,Suliman Mustapha,"FW,MF",21.0,0.8,0.5,0,0.5,0.3,0,0.3,0.8,0.8,0.7,0.34,1.04,0.7,1.04
1312,Eniss Shabani,MF,19.0,0.1,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1314,Iñaki Williams,FW,28.0,31.5,9.1,9,0.1,4.8,3,1.8,1.9,13.9,0.34,0.15,0.49,0.29,0.44
1315,Óscar de Marcos,DF,33.0,31.3,0.4,1,-0.6,3.5,6,-2.5,-3.1,4.0,0.01,0.11,0.13,0.01,0.13
1316,Nico Williams,FW,20.0,29.5,4.9,6,-1.1,6.4,4,2.4,1.3,11.3,0.17,0.22,0.38,0.17,0.38
1317,Oihan Sancet,MF,22.0,28.1,6.0,8,-2.0,4.2,2,2.2,0.2,10.2,0.27,0.15,0.42,0.21,0.36
1318,Unai Simón,GK,25.0,30.5,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1319,Mikel Vesga,MF,29.0,28.6,1.5,1,0.5,1.5,3,-1.5,-1.0,3.0,0.14,0.05,0.19,0.05,0.11
1320,Yuri Berchiche,DF,32.0,26.7,1.3,1,0.3,1.4,1,0.4,0.7,2.7,0.05,0.05,0.1,0.05,0.1
1321,Yeray Álvarez,DF,27.0,25.9,0.8,1,-0.2,1.1,1,0.1,-0.1,1.9,0.03,0.04,0.07,0.03,0.07
1322,Daniel Vivian,DF,23.0,26.4,1.2,1,0.2,0.7,0,0.7,0.9,2.0,0.05,0.03,0.07,0.05,0.07
1323,Álex Berenguer,FW,27.0,25.5,4.3,4,0.3,4.6,1,3.6,3.9,9.0,0.17,0.18,0.35,0.17,0.35
1324,Iker Muniain,"MF,FW",29.0,18.8,3.0,0,3.0,3.9,3,0.9,3.9,6.9,0.16,0.21,0.37,0.16,0.37
1325,Dani García,MF,32.0,16.5,1.4,0,1.4,0.7,2,-1.3,0.1,2.1,0.09,0.04,0.13,0.09,0.13
1326,Gorka Guruzeta,FW,25.0,15.8,6.1,6,0.1,1.0,1,0.0,0.1,7.1,0.39,0.06,0.45,0.39,0.45
1327,Iñigo Martínez,DF,31.0,14.9,0.8,1,-0.2,0.3,0,0.3,0.1,1.1,0.06,0.02,0.08,0.06,0.08
1328,Iñigo Lekue,DF,29.0,14.7,0.2,0,0.2,0.7,1,-0.3,-0.1,0.9,0.02,0.05,0.06,0.02,0.06
1329,Aitor Paredes,DF,22.0,9.5,0.5,0,0.5,0.4,0,0.4,0.9,0.9,0.05,0.04,0.09,0.05,0.09
1330,Ander Herrera,MF,32.0,7.7,0.5,0,0.5,0.9,1,-0.1,0.4,1.4,0.07,0.11,0.18,0.07,0.18
1331,Julen Agirrezabala,GK,21.0,7.5,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1332,Raúl García,"FW,MF",36.0,10.7,5.2,2,3.2,1.1,3,-1.9,1.3,6.3,0.48,0.1,0.59,0.48,0.59
1333,Oier Zarraga,MF,23.0,9.5,1.3,0,1.3,1.1,0,1.1,2.4,2.4,0.13,0.12,0.25,0.13,0.25
1334,Mikel Balenziaga,DF,34.0,1.3,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02
1335,Ander Capa,DF,30.0,1.2,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.04
1336,Asier Villalibre,FW,24.0,1.1,0.3,0,0.3,0.2,0,0.2,0.5,0.5,0.29,0.19,0.47,0.29,0.47
1337,Unai Vencedor Paris,MF,21.0,2.1,0.5,0,0.5,0.1,0,0.1,0.6,0.6,0.22,0.05,0.28,0.22,0.28
1338,Malcom Abdulai Ares Djalo,"FW,MF",20.0,0.9,0.1,0,0.1,0.2,0,0.2,0.3,0.3,0.11,0.19,0.3,0.11,0.3
1339,Jon Morcillo,"FW,MF",23.0,0.8,0.1,0,0.1,0.3,1,-0.7,-0.6,0.5,0.2,0.42,0.62,0.2,0.62
1340,Yunis Abdelhamid,DF,34.0,37.0,2.4,1,1.4,1.0,2,-1.0,0.4,3.4,0.06,0.03,0.09,0.06,0.09
1341,Folarin Balogun,FW,21.0,33.3,21.0,15,6.0,3.8,2,1.8,7.8,24.8,0.8,0.11,0.91,0.63,0.74
1342,Junya Ito,FW,29.0,32.4,5.7,6,-0.3,8.0,5,3.0,2.7,13.7,0.18,0.25,0.42,0.18,0.42
1343,Yehvann Diouf,GK,22.0,31.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1344,Marshall Munetsi,MF,26.0,30.0,9.4,7,2.4,3.1,3,0.1,2.5,12.5,0.31,0.1,0.42,0.31,0.42
1345,Azor Matusiwa,MF,24.0,27.6,0.4,0,0.4,1.2,0,1.2,1.6,1.7,0.02,0.04,0.06,0.02,0.06
1346,Alexis Flips,"FW,MF",22.0,22.0,3.9,4,-0.1,6.2,6,0.2,0.1,10.0,0.18,0.28,0.46,0.18,0.46
1347,Emmanuel Agbadou,DF,25.0,26.5,1.7,0,1.7,2.4,3,-0.6,1.1,4.1,0.06,0.09,0.15,0.06,0.15
1348,Thomas Foket,DF,27.0,22.0,0.1,0,0.1,2.8,1,1.8,1.9,2.9,0.01,0.13,0.13,0.01,0.13
1349,Thibault De Smet,DF,24.0,19.5,0.0,0,0.0,1.3,1,0.3,0.3,1.3,0.0,0.07,0.07,0.0,0.07
1350,Dion Lopy,MF,20.0,15.3,0.9,0,0.9,1.6,1,0.6,1.5,2.5,0.06,0.1,0.16,0.06,0.16
1351,Jens Cajuste,MF,22.0,17.0,1.5,3,-1.5,1.2,1,0.2,-1.3,2.8,0.09,0.07,0.16,0.09,0.16
1352,Kamory Doumbia,MF,19.0,12.8,2.9,1,1.9,2.9,2,0.9,2.8,5.8,0.29,0.23,0.51,0.23,0.45
1353,Banzouzi Locko,DF,20.0,11.8,0.2,0,0.2,0.5,0,0.5,0.7,0.7,0.02,0.05,0.06,0.02,0.06
1354,Andrew Gravillon,DF,24.0,11.5,0.8,0,0.8,0.4,0,0.4,1.2,1.1,0.07,0.03,0.1,0.07,0.1
1355,Arber Zeneli,"FW,MF",27.0,11.1,2.1,0,2.1,3.1,2,1.1,3.2,5.2,0.19,0.28,0.47,0.19,0.47
1356,Maxime Busi,DF,22.0,11.6,0.1,0,0.1,0.7,1,-0.3,-0.2,0.8,0.01,0.06,0.07,0.01,0.07
1357,Check Keita,DF,19.0,7.6,0.2,0,0.2,0.0,0,0.0,0.2,0.2,0.03,0.0,0.03,0.03,0.03
1358,Patrick Pentz,GK,25.0,7.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1359,Mitchell van Bergen,"FW,DF",22.0,10.1,2.2,0,2.2,2.7,1,1.7,3.9,4.8,0.22,0.26,0.48,0.22,0.48
1360,Wout Faes,DF,24.0,3.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1361,Myziane Maolida,"MF,FW",23.0,2.6,0.5,1,-0.5,0.4,0,0.4,-0.1,0.9,0.18,0.17,0.35,0.18,0.35
1362,Noah Holm,"FW,MF",21.0,2.2,0.3,0,0.3,0.3,0,0.3,0.6,0.6,0.15,0.15,0.3,0.15,0.3
1363,Valentin Atangana Edoa,MF,16.0,1.9,0.0,0,0.0,0.2,0,0.2,0.2,0.2,0.02,0.1,0.12,0.02,0.12
1364,Kaj Sierhuis,"FW,MF",24.0,2.4,0.4,0,0.4,0.0,0,0.0,0.4,0.4,0.16,0.0,0.16,0.16,0.16
1365,Ibrahim Diakité,DF,18.0,1.5,0.2,0,0.2,0.0,0,0.0,0.2,0.2,0.14,0.0,0.14,0.14,0.14
1366,El Bilal Touré,FW,20.0,1.0,0.0,0,0.0,0.1,0,0.1,0.1,0.1,0.03,0.05,0.09,0.03,0.09
1367,Martin Adeline,"MF,FW",18.0,1.2,0.1,0,0.1,0.0,0,0.0,0.1,0.1,0.06,0.0,0.06,0.06,0.06
1368,Nathanael Mbuku,"FW,MF",20.0,0.7,0.1,0,0.1,0.0,0,0.0,0.1,0.1,0.12,0.0,0.12,0.12,0.12
1369,Fallou Fall,DF,18.0,0.4,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1370,Mohamed Toure,"FW,MF",18.0,0.3,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.15,0.15,0.0,0.15
1371,Mamadou Diakhon,FW,16.0,0.2,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.14,0.0,0.14,0.14,0.14
1374,Jordan Ferri,MF,30.0,30.4,0.8,1,-0.2,3.0,2,1.0,0.8,3.8,0.03,0.1,0.13,0.03,0.13
1375,Christopher Jullien,DF,29.0,29.9,2.0,0,2.0,1.1,2,-0.9,1.1,3.1,0.07,0.04,0.1,0.07,0.1
1376,Téji Savanier,MF,30.0,28.3,3.8,6,-2.2,5.8,4,1.8,-0.4,9.6,0.3,0.21,0.51,0.14,0.34
1377,Arnaud Nordin,FW,24.0,26.7,6.5,9,-2.5,2.9,3,-0.1,-2.6,9.4,0.24,0.11,0.35,0.24,0.35
1378,Falaye Sacko,DF,27.0,28.7,0.8,1,-0.2,1.1,3,-1.9,-2.1,1.9,0.03,0.04,0.07,0.03,0.07
1379,Elye Wahi,FW,19.0,27.9,11.4,18,-6.6,3.6,5,-1.4,-8.0,15.0,0.44,0.13,0.56,0.41,0.54
1380,Joris Chotard,MF,20.0,27.3,0.6,0,0.6,3.5,6,-2.5,-1.9,4.1,0.02,0.13,0.15,0.02,0.15
1381,Faitout Maouassa,"FW,DF",24.0,21.4,3.3,5,-1.7,2.2,5,-2.8,-4.5,5.6,0.16,0.1,0.26,0.16,0.26
1382,Wahbi Khazri,"FW,MF",31.0,18.2,4.1,4,0.1,1.6,1,0.6,0.7,5.8,0.23,0.09,0.32,0.23,0.32
1383,Benjamin Lecomte,GK,31.0,19.0,0.0,0,0.0,0.1,0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0
1384,Maxime Estève,DF,20.0,18.3,0.6,0,0.6,0.1,0,0.1,0.7,0.6,0.03,0.0,0.03,0.03,0.03
1385,Issiaga Sylla,DF,28.0,14.5,0.8,1,-0.2,2.0,3,-1.0,-1.2,2.8,0.05,0.14,0.19,0.05,0.19
1386,Boubakar Kouyaté,DF,25.0,14.0,0.7,0,0.7,0.1,0,0.1,0.8,0.8,0.05,0.01,0.06,0.05,0.06
1387,Stephy Mavididi,FW,24.0,14.3,4.3,4,0.3,1.4,2,-0.6,-0.3,5.7,0.3,0.1,0.4,0.3,0.4
1388,Nicolas Cozza,DF,23.0,14.2,1.4,2,-0.6,0.8,1,-0.2,-0.8,2.1,0.1,0.05,0.15,0.1,0.15
1389,Léo Leroy,MF,22.0,13.2,1.1,0,1.1,0.9,0,0.9,2.0,2.0,0.08,0.07,0.15,0.08,0.15
1390,Jonas Omlin,GK,28.0,13.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1391,Enzo Tchato,DF,19.0,12.2,0.4,1,-0.6,1.1,1,0.1,-0.5,1.5,0.03,0.09,0.12,0.03,0.12
1392,Mamadou Sakho,DF,32.0,8.5,0.5,1,-0.5,0.2,0,0.2,-0.3,0.7,0.06,0.02,0.08,0.06,0.08
1393,Khalil Fayad,MF,18.0,8.0,0.5,0,0.5,1.4,2,-0.6,-0.1,1.9,0.06,0.17,0.24,0.06,0.24
1394,Théo Sainte-Luce,DF,23.0,5.9,0.4,1,-0.6,0.7,1,-0.3,-0.9,1.2,0.07,0.13,0.2,0.07,0.2
1395,Valère Germain,"FW,MF",32.0,7.6,2.5,2,0.5,0.6,0,0.6,1.1,3.1,0.33,0.07,0.4,0.33,0.4
1396,Bingourou Kamara,GK,25.0,4.5,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1397,Arnaud Souquet,"DF,FW",30.0,4.0,0.1,0,0.1,0.5,0,0.5,0.6,0.6,0.01,0.13,0.15,0.01,0.15
1398,Béni Makouana,"FW,MF",19.0,2.2,0.8,0,0.8,0.0,0,0.0,0.8,0.8,0.37,0.01,0.38,0.37,0.38
1399,Matis Carvalho,GK,23.0,1.5,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1400,Cheikh Faye,FW,23.0,0.4,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1401,Axel Gueguin,"FW,MF",17.0,0.3,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1402,Sacha Delaye,"FW,MF",20.0,0.2,0.1,1,-0.9,0.0,0,0.0,-0.9,0.1,0.31,0.0,0.31,0.31,0.31
1403,Pedro Mendes,DF,31.0,0.1,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1404,Thibault Tamas,DF,21.0,0.1,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1405,Predrag Rajković,GK,26.0,36.0,0.0,0,0.0,0.5,0,0.5,0.5,0.5,0.0,0.01,0.01,0.0,0.01
1406,Pablo Maffeo,DF,25.0,33.1,1.8,2,-0.2,3.0,4,-1.0,-1.2,4.8,0.05,0.09,0.14,0.05,0.14
1407,Vedat Muriqi,FW,28.0,32.6,8.6,11,-2.4,2.1,3,-0.9,-3.3,10.6,0.38,0.06,0.45,0.26,0.33
1408,Lee Kangin,"MF,FW",21.0,31.4,5.4,6,-0.6,5.4,6,-0.6,-1.2,10.8,0.17,0.17,0.34,0.17,0.34
1409,Antonio Raillo,DF,30.0,30.7,0.6,2,-1.4,1.1,3,-1.9,-3.3,1.7,0.02,0.03,0.05,0.02,0.05
1410,Martin Valjent,DF,26.0,29.5,0.3,0,0.3,0.4,0,0.4,0.7,0.7,0.01,0.01,0.02,0.01,0.02
1411,Jaume Costa,DF,34.0,28.9,1.0,0,1.0,2.5,1,1.5,2.5,3.5,0.04,0.09,0.12,0.04,0.12
1412,Iñigo Ruiz de Galarreta,MF,28.0,27.2,0.3,0,0.3,1.4,1,0.4,0.7,1.7,0.01,0.05,0.06,0.01,0.06
1413,Copete,DF,22.0,24.5,0.5,1,-0.5,0.2,0,0.2,-0.3,0.7,0.04,0.01,0.05,0.02,0.03
1414,Dani Rodríguez,MF,34.0,23.3,2.4,3,-0.6,3.2,6,-2.8,-3.4,5.6,0.1,0.14,0.24,0.1,0.24
1415,Iddrisu Baba,"MF,DF",26.0,18.9,0.6,0,0.6,0.2,0,0.2,0.8,0.8,0.03,0.01,0.04,0.03,0.04
1416,Amath,"MF,FW",26.0,13.6,2.7,2,0.7,0.8,0,0.8,1.5,3.5,0.2,0.06,0.25,0.2,0.25
1417,Antonio Sánchez,"MF,DF",25.0,12.0,0.6,0,0.6,0.8,0,0.8,1.4,1.4,0.05,0.07,0.12,0.05,0.12
1418,Matija Nastasić,DF,29.0,10.1,0.5,1,-0.5,0.0,0,0.0,-0.5,0.5,0.05,0.0,0.05,0.05,0.05
1419,Giovanni González,DF,27.0,10.3,0.2,0,0.2,1.2,2,-0.8,-0.6,1.4,0.02,0.12,0.14,0.02,0.14
1420,Manu Morlanes,MF,23.0,7.8,0.3,1,-0.7,0.7,0,0.7,0.0,1.0,0.03,0.09,0.12,0.03,0.12
1421,Rodrigo Battaglia,MF,31.0,7.6,0.2,0,0.2,0.0,0,0.0,0.2,0.2,0.02,0.01,0.03,0.02,0.03
1422,Dennis Hadzikadunic,DF,24.0,6.8,0.3,0,0.3,0.0,0,0.0,0.3,0.3,0.05,0.0,0.05,0.05,0.05
1423,Clément Grenier,MF,31.0,8.0,0.2,0,0.2,1.1,0,1.1,1.3,1.3,0.03,0.14,0.17,0.03,0.17
1424,Tino Kadewere,"FW,MF",26.0,6.0,1.6,1,0.6,0.6,0,0.6,1.2,2.2,0.26,0.1,0.37,0.26,0.37
1425,Abdón Prats,"FW,MF",29.0,4.6,0.7,1,-0.3,1.4,1,0.4,0.1,2.1,0.15,0.31,0.45,0.15,0.45
1426,Ángel Rodríguez,"FW,MF",35.0,4.4,2.8,1,1.8,0.1,0,0.1,1.9,2.8,0.63,0.02,0.64,0.63,0.64
1427,Braian Cufré,DF,25.0,2.4,0.1,0,0.1,0.0,0,0.0,0.1,0.1,0.04,0.01,0.05,0.04,0.05
1428,Franco Russo,DF,27.0,1.6,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1429,Ludwig Augustinsson,DF,28.0,1.5,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02
1430,Josep Antoni Gayá,"DF,MF",22.0,1.1,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1431,Dominik Greif,GK,25.0,1.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1432,Leonardo Román,GK,22.0,1.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1433,Lago Junior,"FW,MF",31.0,0.6,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03
1434,Javier Llabrés,FW,19.0,0.2,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1436,Santiago Bueno,DF,23.0,33.4,1.3,0,1.3,1.1,1,0.1,1.4,2.4,0.04,0.03,0.07,0.04,0.07
1437,Oriol Romeu,MF,30.0,32.8,1.8,2,-0.2,0.9,0,0.9,0.7,2.7,0.05,0.03,0.08,0.05,0.08
1438,Valentín Castellanos,FW,23.0,28.9,10.2,12,-1.8,1.7,0,1.7,-0.1,11.9,0.38,0.06,0.44,0.35,0.41
1439,Arnau Martinez,DF,19.0,30.4,1.9,3,-1.1,4.3,4,0.3,-0.8,6.3,0.06,0.14,0.21,0.06,0.21
1440,Paulo Gazzaniga,GK,30.0,28.0,0.0,0,0.0,0.2,0,0.2,0.2,0.2,0.0,0.01,0.01,0.0,0.01
1441,Miguel Gutiérrez,DF,21.0,26.6,0.8,2,-1.2,3.3,3,0.3,-0.9,4.1,0.03,0.12,0.15,0.03,0.15
1442,Aleix García,MF,25.0,26.0,1.8,1,0.8,6.1,5,1.1,1.9,7.9,0.07,0.23,0.31,0.07,0.31
1443,Rodrigo Riquelme,"MF,FW",22.0,24.2,4.0,4,0.0,3.6,4,-0.4,-0.4,7.6,0.17,0.15,0.32,0.17,0.32
1444,David López,DF,32.0,18.4,1.5,3,-1.5,0.6,1,-0.4,-1.9,2.1,0.08,0.03,0.12,0.08,0.12
1445,Iván Martín,MF,23.0,17.6,2.4,3,-0.6,2.2,3,-0.8,-1.4,4.7,0.14,0.13,0.27,0.14,0.27
1446,Viktor Tsyhankov,MF,24.0,16.5,2.8,3,-0.2,2.9,6,-3.1,-3.3,5.7,0.17,0.17,0.34,0.17,0.34
1447,Juanpe,DF,31.0,15.8,0.5,1,-0.5,0.2,0,0.2,-0.3,0.7,0.03,0.01,0.04,0.03,0.04
1448,Bernardo Espinosa,DF,33.0,13.6,1.2,1,0.2,0.0,1,-1.0,-0.8,1.2,0.09,0.0,0.09,0.09,0.09
1449,Javi,DF,24.0,12.4,1.3,1,0.3,0.9,2,-1.1,-0.8,2.2,0.1,0.07,0.18,0.1,0.18
1450,Yan Couto,"DF,MF",20.0,12.9,0.5,1,-0.5,2.4,2,0.4,-0.1,2.9,0.04,0.19,0.23,0.04,0.23
1451,Yangel Herrera,"MF,FW",24.0,10.7,2.3,2,0.3,1.0,2,-1.0,-0.7,3.3,0.22,0.1,0.31,0.21,0.31
1452,Toni Villa,"MF,FW",27.0,9.9,1.0,1,0.0,1.6,3,-1.4,-1.4,2.6,0.1,0.16,0.26,0.1,0.26
1453,Juan Carlos,GK,34.0,10.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1454,Borja García,"MF,FW",31.0,7.5,0.7,1,-0.3,0.6,0,0.6,0.3,1.3,0.09,0.08,0.17,0.09,0.17
1455,Cristhian Stuani,FW,35.0,12.1,5.0,4,1.0,1.3,0,1.3,2.3,6.2,0.8,0.1,0.9,0.41,0.51
1456,Valery,"MF,DF",22.0,10.7,0.7,0,0.7,1.2,2,-0.8,-0.1,1.9,0.07,0.11,0.18,0.07,0.18
1457,Reinier,"MF,FW",20.0,7.2,1.3,2,-0.7,0.6,1,-0.4,-1.1,1.8,0.17,0.08,0.26,0.17,0.26
1458,Ramón Terrats,MF,21.0,2.4,0.2,0,0.2,0.0,0,0.0,0.2,0.2,0.08,0.02,0.1,0.08,0.1
1459,Manu Vallejo,"FW,MF",25.0,2.3,0.0,0,0.0,0.3,1,-0.7,-0.7,0.3,0.01,0.12,0.13,0.01,0.13
1460,Samuel Sáiz,MF,31.0,2.7,0.1,0,0.1,0.2,0,0.2,0.3,0.4,0.64,0.08,0.72,0.05,0.13
1461,Oscar Ureña,MF,19.0,1.1,0.2,0,0.2,0.0,0,0.0,0.2,0.2,0.16,0.0,0.16,0.16,0.16
1462,Ricard Artero,"MF,FW",19.0,1.5,0.5,0,0.5,0.0,0,0.0,0.5,0.5,0.35,0.0,0.35,0.35,0.35
1463,Alexander Callens,DF,30.0,1.3,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1464,Joel Roca,"MF,FW",17.0,0.9,0.3,0,0.3,0.0,0,0.0,0.3,0.3,0.27,0.04,0.31,0.27,0.31
1465,Nemanja Gudelj,"DF,MF",30.0,30.9,1.7,3,-1.3,0.4,1,-0.6,-1.9,2.1,0.06,0.01,0.07,0.06,0.07
1466,Óliver Torres,"MF,FW",27.0,23.7,2.6,3,-0.4,3.3,1,2.3,1.9,5.9,0.11,0.14,0.25,0.11,0.25
1467,Yassine Bounou,GK,31.0,23.9,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1468,Jesús Navas,"DF,FW",36.0,22.0,0.3,0,0.3,2.8,0,2.8,3.1,3.1,0.01,0.13,0.14,0.01,0.14
1469,Marcos Acuña,DF,30.0,21.2,1.2,3,-1.8,4.3,2,2.3,0.5,5.5,0.05,0.2,0.26,0.05,0.26
1470,Ivan Rakitić,MF,34.0,19.9,1.7,0,1.7,1.9,3,-1.1,0.6,3.7,0.17,0.1,0.26,0.09,0.18
1471,Érik Lamela,"FW,MF",30.0,20.5,5.3,6,-0.7,1.4,0,1.4,0.7,6.7,0.26,0.07,0.33,0.26,0.33
1472,Joan Jordán,MF,28.0,17.7,0.9,0,0.9,0.6,1,-0.4,0.5,1.5,0.05,0.03,0.08,0.05,0.08
1473,Fernando,"MF,DF",35.0,17.5,0.2,0,0.2,0.7,1,-0.3,-0.1,0.9,0.01,0.04,0.05,0.01,0.05
1474,Youssef En-Nesyri,FW,25.0,18.5,8.1,8,0.1,1.1,1,0.1,0.2,9.2,0.44,0.06,0.5,0.44,0.5
1475,Gonzalo Montiel,DF,25.0,16.9,0.8,0,0.8,2.1,3,-0.9,-0.1,2.9,0.04,0.13,0.17,0.04,0.17
1476,Loïc Bade,DF,22.0,16.1,0.3,1,-0.7,0.1,0,0.1,-0.6,0.4,0.02,0.01,0.02,0.02,0.02
1477,Tanguy Nianzou,DF,20.0,15.2,0.5,1,-0.5,0.0,0,0.0,-0.5,0.5,0.03,0.0,0.03,0.03,0.03
1478,Rafa Mir,FW,25.0,14.4,7.4,6,1.4,1.0,0,1.0,2.4,8.4,0.51,0.07,0.58,0.51,0.58
1479,Alex Telles,DF,29.0,15.9,0.4,0,0.4,1.8,2,-0.2,0.2,2.2,0.03,0.11,0.14,0.03,0.14
1480,Karim Rekik,DF,27.0,13.1,0.8,1,-0.2,0.1,1,-0.9,-1.1,0.9,0.06,0.01,0.07,0.06,0.07
1481,Pape Gueye,MF,23.0,13.0,1.3,1,0.3,1.2,3,-1.8,-1.5,2.4,0.1,0.09,0.18,0.1,0.18
1482,Marko Dmitrović,GK,30.0,14.1,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
