Unnamed: 0,Player,Position,Age,90 mins played,Non Penalty xG,Non-penalty goals,Non-Penalty(xG-Goals),Expected Assists,Assists,xAG-Assists,npxGi-npGi,Non Penalty xG + Assisted Goals,xG/90,Expected Assisted Goals/90,Expected Goals+Assisted Goals/90,Non Penalty xG/90,Non Penalty xG+xAG/90
174,Eric Maxim Choupo-Moting,FW,33.0,12.4,5.3,10,-4.7,1.9,2,-0.1,-4.8,7.3,0.49,0.16,0.65,0.43,0.59
175,Manuel Neuer,GK,36.0,12.0,0.2,0,0.2,0.0,0,0.0,0.2,0.2,0.02,0.0,0.02,0.02,0.02
176,Noussair Mazraoui,DF,24.0,11.9,1.1,1,0.1,1.9,4,-2.1,-2.0,3.0,0.09,0.16,0.25,0.09,0.25
177,João Cancelo,"DF,FW",28.0,11.2,0.7,1,-0.3,2.3,4,-1.7,-2.0,3.0,0.06,0.21,0.26,0.06,0.26
178,Marcel Sabitzer,MF,28.0,7.0,1.1,1,0.1,0.4,1,-0.6,-0.5,1.4,0.15,0.05,0.2,0.15,0.2
179,Lucas Hernández,DF,26.0,5.3,0.0,0,0.0,0.2,0,0.2,0.2,0.2,0.0,0.03,0.03,0.0,0.03
180,Josip Stanišić,DF,22.0,6.4,0.0,0,0.0,0.4,0,0.4,0.4,0.4,0.0,0.07,0.07,0.0,0.07
181,Ryan Gravenberch,MF,20.0,6.4,0.9,0,0.9,0.5,0,0.5,1.4,1.4,0.14,0.08,0.21,0.14,0.21
182,Sven Ulreich,GK,33.0,3.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
183,Mathys Tel,FW,17.0,4.6,2.7,5,-2.3,0.7,0,0.7,-1.6,3.3,0.58,0.14,0.72,0.58,0.72
184,Daley Blind,"DF,MF",32.0,1.5,0.1,0,0.1,0.1,0,0.1,0.2,0.1,0.04,0.04,0.08,0.04,0.08
185,Paul Wanner,MF,16.0,0.3,0.0,0,0.0,0.1,0,0.1,0.1,0.1,0.0,0.25,0.25,0.0,0.25
186,Gabriel Vidovic,FW,18.0,0.2,0.0,0,0.0,0.1,1,-0.9,-0.9,0.1,0.0,0.39,0.39,0.0,0.39
187,Arijon Ibrahimović,MF,16.0,0.2,0.5,0,0.5,0.1,0,0.1,0.6,0.6,3.31,0.37,3.68,3.31,3.68
189,Jude Bellingham,MF,19.0,29.9,7.4,7,0.4,4.0,4,0.0,0.4,11.4,0.27,0.14,0.41,0.25,0.38
190,Julian Brandt,"MF,FW",26.0,26.6,5.2,9,-3.8,9.2,8,1.2,-2.6,14.3,0.19,0.34,0.54,0.19,0.54
191,Gregor Kobel,GK,24.0,27.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192,Nico Schlotterbeck,DF,22.0,25.0,1.6,4,-2.4,1.7,5,-3.3,-5.7,3.3,0.06,0.07,0.13,0.06,0.13
193,Raphaël Guerreiro,"DF,MF",28.0,25.4,2.7,4,-1.3,7.6,12,-4.4,-5.7,10.3,0.11,0.3,0.41,0.11,0.41
194,Mats Hummels,DF,33.0,22.4,2.2,1,1.2,1.1,0,1.1,2.3,3.3,0.1,0.05,0.15,0.1,0.15
195,Niklas Süle,DF,26.0,23.5,2.2,2,0.2,2.2,3,-0.8,-0.6,4.4,0.09,0.09,0.19,0.09,0.19
196,Donyell Malen,FW,23.0,19.0,9.1,9,0.1,4.4,6,-1.6,-1.5,13.5,0.48,0.23,0.71,0.48,0.71
197,Emre Can,MF,28.0,21.1,0.8,1,-0.2,1.3,1,0.3,0.1,2.1,0.08,0.06,0.14,0.04,0.1
198,Karim Adeyemi,"FW,MF",20.0,15.4,4.3,6,-1.7,3.7,5,-1.3,-3.0,8.0,0.33,0.24,0.57,0.28,0.52
199,Salih Özcan,MF,24.0,17.5,0.6,0,0.6,0.5,1,-0.5,0.1,1.1,0.03,0.03,0.06,0.03,0.06
200,Marius Wolf,DF,27.0,17.4,1.2,1,0.2,2.9,1,1.9,2.1,4.0,0.07,0.16,0.23,0.07,0.23
201,Julian Ryerson,DF,24.0,15.7,0.5,1,-0.5,1.5,1,0.5,0.0,2.0,0.03,0.1,0.13,0.03,0.13
202,Sébastien Haller,FW,28.0,13.6,7.7,9,-1.3,2.3,3,-0.7,-2.0,10.0,0.62,0.17,0.79,0.56,0.73
203,Marco Reus,"MF,FW",33.0,15.0,4.3,5,-0.7,2.6,4,-1.4,-2.1,6.9,0.34,0.17,0.51,0.29,0.46
204,Youssoufa Moukoko,FW,17.0,12.7,6.4,7,-0.6,1.8,3,-1.2,-1.8,8.2,0.5,0.14,0.65,0.5,0.65
205,Anthony Modeste,FW,34.0,9.0,4.3,2,2.3,1.1,1,0.1,2.4,5.4,0.48,0.12,0.6,0.48,0.6
206,Alexander Meyer,GK,31.0,7.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
207,Thomas Meunier,DF,30.0,6.5,0.2,0,0.2,0.6,0,0.6,0.8,0.7,0.03,0.09,0.12,0.03,0.12
208,Gio Reyna,"FW,MF",19.0,6.9,3.5,6,-2.5,1.3,2,-0.7,-3.2,4.8,0.62,0.18,0.81,0.51,0.69
209,Jamie Bynoe-Gittens,"FW,MF",17.0,5.9,2.4,3,-0.6,0.7,1,-0.3,-0.9,3.1,0.41,0.12,0.53,0.41,0.53
210,Mahmoud Dahoud,MF,26.0,3.7,0.4,0,0.4,0.5,0,0.5,0.9,0.9,0.12,0.13,0.24,0.12,0.24
211,Thorgan Hazard,"FW,DF",29.0,5.2,1.3,0,1.3,0.9,0,0.9,2.2,2.3,0.26,0.18,0.44,0.26,0.44
212,Felix Passlack,DF,24.0,0.7,0.0,0,0.0,0.4,0,0.4,0.4,0.4,0.0,0.56,0.56,0.0,0.56
213,Soumaïla Coulibaly,DF,18.0,0.5,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
